mysql: [Warning] Using a password on the command line interface can be insecure.
root_ar	freq	past_3ms	present_3ms	imperative_2ms	masdar	active_participle	passive_participle
ذ و د	1	ذَادَ	يَذُودُ	ذُدْ	ذَوْد	ذَائِد	مَذُود
ط و ي	1	طَوَى	يَطْوُيُ	اُطْوُ	طَوْي	طَائٍ	مَطُوي
ح ي ض	1	حَاضَ	يَحِيضُ	حِضْ	حَيْض	حَائِض	مَحِيض
ب ي د	1	بَادَ	يَبِيدُ	بِدْ	بَيْد	بَائِد	مَبِيد
ظ م ا	1	ظَمَأَ	يَظْمَأُ	اِظْمَأْ	NULL	ظَامِئ	مَظْمُوء
ت ي ه	1	تَاهَ	يَتِيهُ	تِهْ	تَيْه	تَائِه	مَتِيه
ل ظ ي	1	لَظَى	يَلْظِي	اِلْظِ	لَظْي	لَاظٍ	مَلْظِيّ
ف ت ا	1	فَتَأَ	يَفْتَأُ	اِفْتَأْ	NULL	فَاتِئ	مَفْتُوء
خ س ا	1	خَسَأَ	يَخْسَأُ	اِخْسَأْ	NULL	خَاسِئ	مَخْسُوء
و ن ي	1	وَنَى	يَنِي	نِ	وَنْي	وَانٍ	مَوْنِيّ
ن و ا	1	نَاءَ	يَنُوءُ	نُؤْ	نَوْأ	نَائِئ	مَنُوء
و س ط	1	وَسَطَ	يَوْسُطُ	اُوسُطْ	وَسَاطَةٌ	وَاسِط	مَوْسُوط
ع ر ي	1	عَرَى	يَعْرَى	اِعْرَ	عَرْي	عَارٍ	مَعْرِيّ
ص د ي	1	صَدَى	يَصْدِي	اِصْدِ	صَدْي	صَادٍ	مَصْدِيّ
و س م	1	وَسَمَ	يَسِمُ	سِمْ	وَسْم	وَاسِم	مَوْسُوم
ر و ح	1	رَاحَ	يَرُوحُ	رُحْ	رَوَاح	رَائِح	مَرُوح
ا و ب	1	آبَ	يَؤُوبُ	أُبْ	أَوْب	آئِب	مَأُوب
ف و ق	1	فَاقَ	يَفُوقُ	فُقْ	فَوْق	فَائِق	مَفُوق
د ح و	1	دَحَا	يَدْحُو	اُدْحُ	دَحْو	دَاحٍ	مَدْحُوّ
ص ي ر	1	صَارَ	يَصِيرُ	صِرْ	صَيْر	صَائِر	مَصِير
ق د و	1	قَدَا	يَقْدُو	اُقْدُ	قَدْو	قَادٍ	مَقْدُوّ
ا ب ق	1	أَبَقَ	يَأْبُقُ	اِيبِقْ	NULL	آبِق	مَأْبُوق
ز ر ي	1	زَرَى	يَزْرِي	اِزْرِ	زَرْي	زَارٍ	مَزْرِيّ
د س و	1	دَسَا	يَدْسُو	اُدْسُ	دَسْو	دَاسٍ	مَدْسُوّ
و ت ر	1	وَتَرَ	يَتِرُ	تِرْ	وَتْرٌ	وَاتِر	مَوْتُور
ح ف و	1	حَفَا	يَحْفُو	اُحْفُ	حَفْو	حَافٍ	مَحْفُوّ
ك د ي	1	كَدَى	يَكْدِي	اِكْدِ	كَدْي	كَادٍ	مَكْدِيّ
م و ج	1	مَاجَ	يَمُوجُ	مُجْ	مَوْج	مَائِج	مَمُوج
ك ل ا	1	كَلَأَ	يَكْلَأُ	اِكْلَأْ	NULL	كَالِئ	مَكْلُوء
ا ز ز	1	أَزَّ	يَؤُزُّ	اُؤْزُزْ	NULL	آزّ	مَأْزُوز
ذ ر و	1	ذَرَا	يَذْرُو	اُذْرُ	ذَرْو	ذَارٍ	مَذْرُوّ
م ي ر	1	مَارَ	يَمِيرُ	مِرْ	مَيْر	مَائِر	مَمِير
س ط و	1	سَطَا	يَسْطُو	اُسْطُ	سَطْو	سَاطٍ	مَسْطُوّ
غ ي ب	1	غَابَ	يَغِيبُ	غِبْ	غَيْب	غَائِب	مَغِيب
ح ي ف	1	حَافَ	يَحِيفُ	حِفْ	حَيْف	حَائِف	مَحِيف
و ك ز	1	وَكَزَ	يَكِزُ	كِزْ	NULL	وَاكِز	مَوْكُوز
ع ب ا	1	عَبَأَ	يَعْبَأُ	اِعْبَأْ	NULL	عَابِئ	مَعْبُوء
خ ب و	1	خَبَا	يَخْبُو	اُخْبُ	خَبْو	خَابٍ	مَخْبُوّ
ن ف ي	1	نَفَى	يَنْفِي	اِنْفِ	نَفْي	نَافٍ	مَنْفِيّ
ل غ و	1	لَغَا	يَلْغُو	اُلْغُ	لَغْو	لَاغٍ	مَلْغُوّ
ا ل ت	1	أَلَتَ	يَأْلُتُ	اُؤْلُتْ	NULL	آلِت	مَأْلُوت
س و ر	1	سَارَ	يَسُورُ	سُرْ	سَوْر	سَائِر	مَسُور
ر س و	1	رَسَا	يَرْسَوُ	اِرْسَ	رَسْو	رَاسٍ	مَرْسُوّ
ش ي ع	1	شَاعَ	يَشِيعُ	شِعْ	شَيْع	شَائِع	مَشِيع
ف ض و	1	فَضَا	يَفْضُو	اُفْضُ	فَضْو	فَاضٍ	مَفْضُوّ
س ي ح	1	سَاحَ	يَسِيحُ	سِحْ	سَيْح	سَائِح	مَسِيح
ه و ر	1	هَارَ	يَهُورُ	هُرْ	هَوْر	هَائِر	مَهُور
ا و د	1	آدَ	يَؤُودُ	أُدْ	أَوْد	آئِد	مَأُود
ر ي ن	1	رَانَ	يَرِينُ	رِنْ	رَيْن	رَائِن	مَرِين
ض ح و	1	ضَحَا	يَضْحَوُ	اِضْحَ	ضَحْو	ضَاحٍ	مَضْحُوّ
ج و س	1	جَاسَ	يَجُوسُ	جُسْ	جَوْس	جَائِس	مَجُوس
م س و	1	مَسَا	يَمْسُو	اُمْسُ	مَسْو	مَاسٍ	مَمْسُوّ
ز و د	1	زَادَ	يَزُودُ	زُدْ	زَوْد	زَائِد	مَزُود
ع ي ب	1	عَابَ	يَعِيبُ	عِبْ	عَيْب	عَائِب	مَعِيب
ه ي م	1	هَامَ	يَهِيمُ	هِمْ	هَيْم	هَائِم	مَهِيم
ح ر ي	1	حَرَى	يَحْرِي	اِحْرِ	حَرْي	حَارٍ	مَحْرِيّ
و ف ض	1	وَفَضَ	يَفِضُ	فِضْ	NULL	وَافِض	مَوْفُوض
م ط و	1	مَطَا	يَمْطُو	اُمْطُ	مَطْو	مَاطٍ	مَمْطُوّ
ط ح و	1	طَحَا	يَطْحُو	اُطْحُ	طَحْو	طَاحٍ	مَطْحُوّ
و ق ب	1	وَقَبَ	يَقِبُ	قِبْ	وَقْبٌ	وَاقِب	مَوْقُوب
غ ل ي	1	غَلَى	يَغْلِي	اِغْلِ	غَلْي	غَالٍ	مَغْلِيّ
و ق ر	1	وَقَرَ	يَوْقُرُ	اُوقُرْ	NULL	وَاقِر	مَوْقُور
ا ز ف	1	أَزَفَ	يَأْزُفُ	اُؤْزُفْ	NULL	آزِف	مَأْزُوف
س ج و	1	سَجَا	يَسْجُو	اُسْجُ	سَجْو	سَاجٍ	مَسْجُوّ
غ و ص	1	غَاصَ	يَغُوصُ	غُصْ	غَوْص	غَائِص	مَغُوص
ذ ك و	1	ذَكَا	يَذْكُو	اُذْكُ	ذَكْو	ذَاكٍ	مَذْكُوّ
ح ي د	1	حَادَ	يَحِيدُ	حِدْ	حَيْد	حَائِد	مَحِيد
ك و ي	1	كَوَى	يَكْوُيُ	اُكْوُ	كَوْي	كَائٍ	مَكُوي
ا س ف	1	أَسَفَ	يَأْسُفُ	اُؤْسُفْ	NULL	آسِف	مَأْسُوف
غ ي ث	1	غَاثَ	يَغِيثُ	غِثْ	غَيْث	غَائِث	مَغِيث
ذ ي ع	1	ذَاعَ	يَذِيعُ	ذِعْ	ذَيْع	ذَائِع	مَذِيع
ش و ي	1	شَوَى	يَشْوِي	اِشْوِ	شَيّ	شَاوٍ	مَشْوِيّ
س و غ	1	سَاغَ	يَسُوغُ	سُغْ	سَوْغ	سَائِغ	مَسُوغ
ع ر و	1	عَرَا	يَعْرُو	اُعْرُ	عَرْو	عَارٍ	مَعْرُوّ
ص ب و	1	صَبَا	يَصْبُو	اُصْبُ	صَبْو	صَابٍ	مَصْبُوّ
ل و ت	1	لَاتَ	يَلُوتُ	لُتْ	لَوْت	لَائِت	مَلُوت
ع ش و	1	عَشَا	يَعْشُو	اُعْشُ	عَشْو	عَاشٍ	مَعْشُوّ
ج ف و	1	جَفَا	يَجْفَوُ	اِجْفَ	جَفْو	جَافٍ	مَجْفُوّ
ل ي ت	1	لَاتَ	يَلِيتُ	لِتْ	لَيْت	لَائِت	مَلِيت
ا ن ي	1	أَنَى	يَأْنِي	اِئْنِ	أَنْي	آنٍ	مَأْنِيّ
ف و ض	1	فَاضَ	يَفُوضُ	فُضْ	فَوْض	فَائِض	مَفُوض
خ ي ل	1	خَالَ	يَخِيلُ	خِلْ	خَيْل	خَائِل	مَخِيل
ص ي د	1	صَادَ	يَصِيدُ	صِدْ	صَيْد	صَائِد	مَصِيد
ع ن و	1	عَنَا	يَعْنُو	اُعْنُ	عَنْو	عَانٍ	مَعْنُوّ
ع و ل	1	عَالَ	يَعُولُ	عُلْ	عَوْل	عَائِل	مَعُول
ض ه ا	1	ضَهَأَ	يَضْهُؤُ	اُضْهُؤْ	NULL	ضَاهِئ	مَضْهُوء
ه ي ت	1	هَاتَ	يَهِيتُ	هِتْ	هَيْت	هَائِت	مَهِيت
ج و ع	1	جَاعَ	يَجُوعُ	جُعْ	جَوْع	جَائِع	مَجُوع
ض ي ف	1	ضَافَ	يَضِيفُ	ضِفْ	ضِيَافَة	ضَائِف	مَضِيف
و ب ق	1	وَبَقَ	يَبِقُ	بِقْ	NULL	وَابِق	مَوْبُوق
و ف ق	1	وَفَقَ	يَفِقُ	فِقْ	NULL	وَافِق	مَوْفُوق
ب ط ا	1	بَطَأَ	يَبْطُؤُ	اُبْطُؤْ	NULL	بَاطِئ	مَبْطُوء
ق ل ي	1	قَلَى	يَقْلِي	اِقْلِ	قَلْي	قَالٍ	مَقْلِيّ
د و ل	1	دَالَ	يَدُولُ	دُلْ	دَوْل	دَائِل	مَدُول
و ج ب	1	وَجَبَ	يَجِبُ	جِبْ	وُجُوب	وَاجِب	مَوْجُوب
ح م ي	1	حَمَى	يَحْمَى	اِحْمَ	حَمْي	حَامٍ	مَحْمِيّ
و ق ت	1	وَقَتَ	يَوْقُتُ	اُوقُتْ	NULL	وَاقِت	مَوْقُوت
ا ز ر	1	أَزَرَ	يَأْزُرُ	اُؤْزُرْ	NULL	آزِر	مَأْزُور
و ج ف	1	وَجَفَ	يَجِفُ	جِفْ	NULL	وَاجِف	مَوْجُوف
